,Unnamed: 0,word_lex_0,word_form_0,word_gramm_0,word_lex_1,word_form_1,word_gramm_1,used
0,0,рука,рука,"S,f,inan,nom,sg",рука,об руку,"S,acc,f,inan,sg",False
1,1,шаг,шаг,"S,inan,m,nom,sg",шаг,за шагом,"S,inan,ins,m,sg",False
2,2,стук,стук,"S,inan,m,nom,sg",дверь,в дверь,"S,acc,f,inan,sg",False
3,3,горе,горе,"S,inan,n,nom,sg",ум,от ума,"S,gen,inan,m,sg",False
4,4,ростов,Ростов,"S,inan,m,nom,sg,topon",дон,на Дону,"S,inan,loc2,m,sg,topon",False
5,5,ответ,ответы,"S,inan,m,nom,pl",вопрос,на вопросы,"S,acc,inan,m,pl",False
6,6,звонок,звонок,"S,inan,m,nom,sg",дверь,в дверь,"S,acc,f,inan,sg",False
7,7,дело,дело,"S,inan,n,nom,sg",конец,с концом,"S,inan,ins,m,sg",False
8,8,снег,снег,"S,inan,m,nom,sg",голова,на голову,"S,acc,f,inan,sg",False
9,9,рыба,рыба,"S,anim,f,nom,sg",вода,в воде,"S,f,inan,loc,sg",False
10,10,борьба,борьба,"S,f,inan,nom,sg",существование,за существование,"S,acc,inan,n,sg",False
11,11,знак,знаки,"S,inan,m,nom,pl",шапка,на шапки,"S,acc,f,inan,pl",False
12,12,нос,нос,"S,inan,m,nom,sg",нос,к носу,"S,dat,inan,m,sg",False
13,13,волос,волосы,"S,inan,m,nom,pl",голова,на голове,"S,f,inan,loc,sg",False
14,14,плоть,плоть,"S,f,inan,nom,sg",плоть,от плоти,"S,f,gen,inan,sg",False
15,15,любовь,любовь,"S,f,inan,nom,sg",родина,к родине,"S,dat,f,inan,sg",False
16,16,петербург,Петербург,"S,inan,m,nom,sg,topon",телефон,по телефону,"S,dat,inan,m,sg",False
17,17,жизнь,жизнь,"S,f,inan,nom,sg",царь,за царя,"S,acc,anim,m,sg",False
18,18,вера,вера,"S,f,inan,nom,sg",бог,в бога,"S,acc,anim,m,sg",False
19,19,борьба,борьба,"S,f,inan,nom,sg",власть,за власть,"S,acc,f,inan,sg",False
20,20,кровь,кровь,"S,f,inan,nom,sg",молоко,с молоком,"S,inan,ins,n,sg",False
21,21,главное,главное,"S,inan,n,nom,sg",жизнь,в жизни,"S,f,inan,loc,sg",False
22,22,капля,капля,"S,f,inan,nom,sg",море,в море,"S,inan,loc,n,sg",False
23,23,отношение,отношение,"S,inan,n,nom,sg",жизнь,к жизни,"S,dat,f,inan,sg",False
24,24,комитет,комитет,"S,inan,m,nom,sg",дело,по делам,"S,dat,inan,n,pl",False
25,25,письмо,письмо,"S,inan,n,nom,sg",редакция,в редакцию,"S,acc,f,inan,sg",False
26,26,любовь,любовь,"S,f,inan,nom,sg",отечество,к отечеству,"S,dat,inan,n,sg",False
